Experiment Name	Sample Name	Run Date	Sequencer ID	Flow Cell Position	Flow Cell ID	Flow Cell Product Code	Data output (Gb)	Read Count (M)	N50 (kb)	MinKNOW Version	Sample Rate (Hz)	Starting Median Translocation Speed	Average Median Translocation Speed Over Time	Weighted Average Median Translocation Speed Over Time	Starting Median Q Score	Average Median Q Score Over Time	Weighted Average Median Q Score Over Time	Passed Bases (Gb)	Failed Bases (Gb)	Passed Reads (M)	Failed Reads (M)	Percentage Passed Bases	Percentage Passed Reads	Passed Modal Q Score	Failed Modal Q Score	Starting Active Pores	Second Active Pore Count	Average Active Pores	Active Pore AUC	Average Active Pore Change Per Mux Scan	Starting Pore Occupancy	Average Pore Occupancy	Starting Adapter Sequencing Percentage	Average Adapter Sequencing Percentage	Start Run ISO Timestamp	Start Run Timestamp
UKBEC_043_FPS	UKBEC_043_FPS	2025-02-18	PC48B098	1A	PBC50079	FLO-PRO114M	74.603	4.684	22.22	24.06.14	5000	396.621	378.869	388.775	13.436	13.245	13.587	72.548	3.525	4.228	0.479	95.366	89.824	14.45	7.35	7270	7275	3564.655	103375	209.357	94.959	90.622	1.938	0.624	2025-02-18T21:55:05.695564727Z	1739915706
UKBEC_081_THAL	UKBEC_081_THAL	2025-02-10	PC48B080	3H	PAY45726	FLO-PRO114M	84.344	6.067	26.86	24.06.14	5000	398.109	384.257	394.518	12.849	11.851	12.529	78.016	7.202	4.491	1.611	91.549	73.599	14.05	4.05	5541	6067	2489.237	146865	95.483	85.447	78.46	1.28	1.879	2025-02-10T18:24:28.429018697Z	1739211868
UKBEC_102_IF	UKBEC_102_IF	2025-02-04	PC48B098	1E	PAY70545	FLO-PRO114M	158.378	8.529	27.66	24.06.14	5000	397.68	391.203	392.843	12.923	12.583	12.74	149.863	12.235	7.26	1.305	92.452	84.764	13.95	7.45	7371	6988	3873.567	232414	110.102	97.373	97.032	0.699	0.389	2025-02-04T19:18:19.989789694Z	1738696700
UKBEC_008_FTX	UKBEC_008_FTX	2025-02-18	PC48B098	1E	PAY45405	FLO-PRO114M	112.993	12.671	21.91	24.06.14	5000	397.711	389.812	391.545	12.903	12.667	12.796	105.901	7.987	11.287	1.437	92.987	88.706	13.85	5.85	7051	6867	3530.156	158857	138.523	97.367	96.887	0.458	0.281	2025-02-18T21:52:28.096624524Z	1739915548
UKBEC_038_IF	UKBEC_038_IF	2025-02-18	PC48B080	2D	PAY46628	FLO-PRO114M	87.544	5.135	27.23	24.06.14	5000	401.387	396.471	397.345	11.952	11.859	12.012	79.838	7.374	4.054	1.1	91.545	78.657	13.55	5.65	6487	5982	2522.622	113518	133.023	96.492	96.221	1.075	0.688	2025-02-18T17:03:19.194392690Z	1739898199
UKBEC_047_IF	UKBEC_047_IF	2025-02-18	PC48B098	2G	PBC47383	FLO-PRO114M	123.233	7.032	26.64	24.06.14	5000	400.922	395.87	397.086	12.942	12.316	12.791	118.005	8.654	5.846	1.219	93.167	82.746	14.05	5.75	6619	6358	2874.898	169619	112.207	95.051	94.061	0.947	0.517	2025-02-18T21:56:15.070793518Z	1739915775
UKBEC_020_IF	UKBEC_020_IF_topup	2025-02-24	PC48B080	1D	PBC11861	FLO-PRO114M	41.263	2.773	27.01	24.06.14	5000	397.728	386.679	390.942	11.773	11.48	11.761	37.36	3.843	2.069	0.714	90.673	74.344	13.75	3.55	5685	5143	1749.267	78717	123.045	83.92	66.402	1.12	1.392	2025-02-24T19:10:01.390507398Z	1740424201
UKBEC_083_BG	UKBEC_083_BG	2025-02-10	PC48B080	4B	PBC21190	FLO-PRO114M	141.116	8.227	26.82	24.06.14	5000	395.733	392.084	393.054	13.202	12.849	13.151	132.587	10.864	6.788	1.473	92.427	82.169	14.35	3.65	6726	6460	3405.746	200939	104.621	96.416	95.734	0.96	0.683	2025-02-10T18:21:01.197849853Z	1739211661
UKBEC_061_IF	UKBEC_061_IF	2025-02-10	PC48B080	1E	PAY68010	FLO-PRO114M	136.761	8.201	26.07	24.06.14	5000	399.077	393.265	394.487	12.376	12.359	12.594	130.31	9.627	6.851	1.387	93.12	83.163	13.85	5.75	7054	6705	3367.475	198681	111.31	96.354	95.67	1.134	0.821	2025-02-10T18:17:44.058359792Z	1739211464
UKBEC_012_FTX	UKBEC_012_FTX	2025-01-21	PC48B080	1C	PAY04102	FLO-PRO114M	43.103	3.662	25.74	24.06.14	5000	396.964	393.362	395.452	10.22	8.982	9.57	35.812	6.955	2.246	1.424	83.737	61.199	12.45	5.55	3442	3056	1386.733	62403	65.614	94.172	87.522	0.491	0.589	2025-01-21T19:22:21.816528383Z	1737487342
